version_datetime,version_datetime_string,entry_number,url
20140610200343,"20:03:43 Jun 10, 2014",3394,http://web.archive.org/web/20140610200343/http://www.opentable.com/new-york-restaurant-listings
20140620214748,"21:47:48 Jun 20, 2014",3408,http://web.archive.org/web/20140620214748/http://www.opentable.com/new-york-restaurant-listings
20140628035523,"3:55:23 Jun 28, 2014",3398,http://web.archive.org/web/20140628035523/http://www.opentable.com/new-york-restaurant-listings
20140706055237,"5:52:37 Jul 6, 2014",3402,http://web.archive.org/web/20140706055237/http://www.opentable.com/new-york-restaurant-listings
20140901191835,"19:18:35 Sep 1, 2014",3399,http://web.archive.org/web/20140901191835/http://www.opentable.com/new-york-restaurant-listings
20140919011636,"1:16:36 Sep 19, 2014",3411,http://web.archive.org/web/20140919011636/http://www.opentable.com/new-york-restaurant-listings
20140920214956,"21:49:56 Sep 20, 2014",3410,http://web.archive.org/web/20140920214956/http://www.opentable.com/new-york-restaurant-listings
20141007135538,"13:55:38 Oct 7, 2014",3433,http://web.archive.org/web/20141007135538/http://www.opentable.com/new-york-restaurant-listings
20141020193704,"19:37:04 Oct 20, 2014",3437,http://web.archive.org/web/20141020193704/http://www.opentable.com/new-york-restaurant-listings
20141102071445,"7:14:45 Nov 2, 2014",3449,http://web.archive.org/web/20141102071445/http://www.opentable.com/new-york-restaurant-listings
20141113014034,"1:40:34 Nov 13, 2014",3452,http://web.archive.org/web/20141113014034/http://www.opentable.com/new-york-restaurant-listings
