name,id
"BOULEVARD BISTRO",858
"BOULEY",860
"BOULTON AND WATT",861
"BOULUD SUD",862
"BOURBON STREET BAR & GRILL",867
"BOWERY BAR AND GRILL",870
"BOWERY DINER",871
"BOWERY MEAT COMPANY",872
"BRAAI",873
"BRABANT",874
"BRANNONS",880
"BRASILINA",881
"BRASSERIE",882
"BRASSERIE 8 1/2",890
"BRASSERIE ATHENEE",892
"BRASSERIE COGNAC",896
"BRASSERIE COGNAC EAST",897
"BRASSERIE DE PARIS",898
"BRASSERIE MAGRITTE",899
"BRASSERIE PUSHKIN",901
"BRASSERIE RUHLMANN",902
"BRAZIL BRAZIL GRILL",905
"BRAZIL GRILL",906
"BREAD",907
"BREAD & TULIPS",909
"BREEZE THAI FRENCH KITCHEN",910
"BRICCO RESTAURANT",913
"BRICK LANE CURRY HOUSE",917
"BRICK LANE CURRY HOUSE UES",918
"BRICK NYC",919
"BRICK OVEN PIZZA & CUCINA",921
"BRICKYARD GASTROPUB",924
"BRIDGE CAFE",925
"BRINDLE ROOM",926
"BRINKLEYS BROOME ST",928
"BRINKLEYS STATION",929
"BRIO",930
"BRIO FLATIRON",932
"BROADWAY JOE STEAKHOUSE",945
"BROKEN ENGLISH",946
"BROOKLYN CORNERSTONE",948
"BROOKLYN HEIGHTS WINE BAR",949
"BROTHER JIMMYS",953
"BROTHER JIMMYS BBQ",954
"BRUSCHETTERIA",959
"BRUSHSTROKE",961
"BRYANT PARK GRILL",963
"BTH RESTAURANT & LOUNGE",964
"BUBBLE LOUNGE",965
"BUCA DI BEPPO",967
"BUDDAKAN NY",969
"BUENOS AIRES",970
"BUGATTI CAFE",973
"BUGS",974
"BULL & BEAR STEAKHOUSE",978
"BURGER AND BARREL",982
"BURKE & WILLS",983
"BURRITO LOCO",984
"BUSHWICK COFFEE HOUSE",986
"BUSHWICK KITCHEN",987
"BUSTAN",988
"BUTCHER BAR",990
"BUTTER",995
"BUTTER 45TH ST",996
"BUTTER MIDTOWN",997
"BUTTER  CASSA HOTEL",998
"BUTTERFIELD 8 RESTAURANT & LOUNGE",1001
"BVS GRILL",1005
"BXL CAFE",1006
"BXL EAST",1007
"BXL ZOUTE",1008
"BYBLOS",1009
"BÃ¢TARD",1011
"CGRAZIE",1012
"CACIO E PEPE",1016
"CACIO E VINO",1017
"CADAQUÃ©S",1018
"CAFE ARGENTINO",1022
"CAFE BLOSSOM",1025
"CAFE CAMBODGE",1026
"CAFE CHAMPIGNON",1028
"CAFE CLUNY",1029
"CAFE CONDESA",1033
"CAFE D ALSACE",1034
"CAFE DANIELLOS",1037
"CAFE DU SOLEIL",1040
"CAFE EL PRESIDENTE",1041
"CAFE ESPAÃ±OL",1042
"CAFE FIORELLO",1043
"CAFE FRIDA",1044
"CAFE GUY & GALLARD",1048
"CAFE GUY AND GALLARD",1049
"CAFE JOUL",1052
"CAFE KRISTALL",1053
"CAFE LUXEMBOURG",1058
"CAFE MATT & MEERA",1060
"CAFE MOCHA ESPRESSO WINE BAR",1061
"CAFE NOIR",1063
"CAFE NUNEZ",1064
"CAFE PAULETTE",1067
"CAFE RONDA",1068
"CAFE SELECT",1072
"CAFE SFA",1073
"CAFE TALLULAH",1076
"CAFE UN DEUX TROIS",1078
"CAFECITO",1082
"CAFETERIA",1083
"CAFFE BUON GUSTO",1085
"CAFFE DEI FIORI",1087
"CAFFE E VINO",1088
"CAFFE GRAZIE",1090
"CAFFE LINDA",1091
"CAFFE NAPOLI",1092
"CAFFE STORICO",1096
"CAFÃ© BOULUD",1098
"CAFÃ© CENTRO",1099
"CAGEN",1103
"CALLE DAO",1109
"CALLE OCHO",1110
"CALYER",1111
"CANCUN",1119
"CANDELA CANDELA",1120
"CANDLE 79",1121
"CANDLE CAFE WEST",1122
"CANTINE PARISIENNE",1127
"CANYON ROAD",1128
"CAPITAL GRILLE",1129
"CAPSOUTO FRERES",1132
"CAPUCINES",1134
"CARA MIA",1136
"CARASTINA",1139
"CARAVAGGIO NEW YORK",1140
"CARBONE",1142
"CARBONE RISTORANTE ITALIANO",1143
"CARINO RESTAURANT AND CANTINA",1148
"CARLYLE RESTAURANT",1149
"CARMINES",1157
"CARMINES   44TH STREET",1158
"CARMINES   91ST STREET",1159
"CARMINES MIDTOWN",1161
"CAROLINES ON BROADWAY",1167
"CARTA AZUL",1172
"CASA HAVANA",1178
"CASA HUMO LATIN ROOM",1179
"CASA LA FEMME",1180
"CASA LEVER",1181
"CASA MEZCAL",1182
"CASA MONO",1183
"CASA NONNA",1184
"CASA POMONA",1186
"CASIMIR",1192
"CASIMIR & CO",1193
"CASK BAR & KITCHEN",1194
"CATA",1201
"CATCH",1204
"CAVA WINE BAR",1208
"CAVATAPPO GRILL",1210
"CAVIAR RUSSE",1211
"CAVIARTERIA CHAMPAGNE & CAVIAR",1212
"CAVO",1213
"CECI ITALIAN RESTAURANT",1216
"CEDRIC",1221
"CELLAR 58",1223
"CELLINI",1224
"CENTER BAR",1225
"CENTRAL LOUNGE",1227
"CENTRAL PARK BOATHOUSE",1229
"CENTRO VINOTECA",1233
"CERCLE ROUGE",1236
"CERVANTESâ OYSTER SHACK",1237
"CERVANTESâ OYSTER SHACK & BAR",1238
"CESCA",1239
"CHAL CHILLI",1247
"CHALK POINT KITCHEN",1248
"CHANCE ASIAN BISTRO & BAR",1251
"CHAPTER ONE",1254
"CHAR NO 4",1256
"CHARLIE BIRD",1263
"CHARLIE PALMER STEAK",1264
"CHARRITOS",1267
"CHART HOUSE RESTAURANT",1268
"CHATEAU CHERBULIEZ",1273
"CHEFS CLUB BY FOOD & WINE",1279
"CHELSEA MANOR",1280
"CHELSEA RISTORANTE",1281
"CHERCHE MIDI",1282
"CHERRY",1283
"CHERRY IZAKAYA",1284
"CHERRYWOOD KITCHEN",1285
"CHEZ JACQUELINE",1287
"CHEZ JEF",1288
"CHEZ JOSEPHINE",1289
"CHEZ LOLA",1290
"CHEZ LUCIENNE",1291
"CHEZ OSKAR",1292
"CHICANE",1298
"CHICO JULIO",1303
"CHINA BLUE",1306
"CHINA GRILL",1307
"CHINA LATINA",1308
"CHINATOWN BRASSERIE",1311
